1;299;;;;
2;299;;;;
3;299;;;;
4;299;;;;
5;299;;;;
6;299;;;;
7;299;;;;
8;1608;;;;
9;1608;;;;
10;1608;;;;
11;1608;;;;
12;4221;;;;
13;4221;;;;
14;4220;;;;
15;4220;;;;
16;4220;;;;
17;4318;;;;
18;;;;;
19;;;;;
20;1652;;;;
21;1652;;;;
22;1652;;;;
23;1652;;;;
24;1652;;;;
25;;;;;
26;;;;;
27;;;;;
28;;;;;
29;299;;;;
30;299;;;;
31;299;;;;
32;299;;;;
33;299;;;;
34;299;;;;
35;299;;;;
36;1608;;;;
37;1608;;;;
38;1608;;;;
39;1608;;;;
40;4221;;;;
41;4221;;;;
42;4220;;;;
43;4220;;;;
44;4318;;;;
45;4318;;;;
46;;;;;
47;;;;;
48;1652;;;;
49;1652;;;;
50;1652;;;;
51;1652;;;;
52;1652;;;;
53;;;;;
54;;;;;
55;;;;;
56;;;;;
57;299;;;;
58;299;;;;
59;299;;;;
60;299;;;;
61;299;;;;
62;299;;;;
63;299;;;;
64;1608;;;;
65;1608;;;;
66;1608;;;;
67;1608;;;;
68;;;;;
69;4222;;;;
70;7092;4220;;;
71;7091;4220;;;
72;7216;4318;;;
73;4318;7215;;;
74;7215;4319;;;
75;4319;4317;;;
76;4317;;;;
77;;;;;
78;1652;;;;
79;1652;;;;
80;1652;;;;
81;;;;;
82;;;;;
83;;;;;
84;;;;;
85;299;;;;
86;299;;;;
87;299;;;;
88;299;;;;
89;299;;;;
90;299;;;;
91;299;;;;
92;1608;;;;
93;1608;;;;
94;1608;;;;
95;1608;;;;
96;4222;;;;
97;4222;;;;
98;7093;;;;
99;7093;7091;7094;;
100;7091;7094;7216;7217;
101;7216;7217;7215;7218;
102;7215;7218;4319;;
103;4319;;;;
104;1652;;;;
105;1652;;;;
106;;;;;
107;1652;;;;
108;;;;;
109;;;;;
110;;;;;
111;;;;;
112;;;;;
113;299;1610;;;
114;299;1610;;;
115;299;1610;;;
116;299;1609;;;
117;299;1609;;;
118;299;1609;;;
119;299;1609;;;
120;1608;4230;;;
121;1608;4230;7100;;
122;1608;7100;;;
123;;;;;
124;4222;;;;
125;7093;4222;4227;4226;
126;7093;7094;4226;;
127;7093;7094;4226;;
128;7094;4226;7217;7220;
129;7218;7219;;;
130;4319;4320;;;
131;4319;4320;;;
132;1653;;;;
133;1653;;;;
134;1653;;;;
135;;;;;
136;;;;;
137;1655;;;;
138;1655;;;;
139;1655;;;;
140;1655;;;;
141;1610;;;;
142;1610;;;;
143;1610;1609;;;
144;1609;;;;
145;1609;;;;
146;1609;;;;
147;1609;;;;
148;4230;;;;
149;4230;7100;7101;;
150;7200;7101;7099;7102;
151;7099;7102;;;
152;4227;;;;
153;4227;4226;;;
154;4226;;;;
155;4226;;;;
156;4226;7220;7221;;
157;7220;7219;7221;7222;
158;7219;4320;;;
159;4320;;;;
160;1653;;;;
161;1653;;;;
162;1653;;;;
163;1653;;;;
164;1653;1655;;;
165;1655;;;;
166;1655;;;;
167;1655;;;;
168;1655;;;;
169;1610;;;;
170;1610;;;;
171;1610;1609;;;
172;1609;;;;
173;1609;;;;
174;1609;;;;
175;1609;;;;
176;4230;4231;;;
177;4230;7101;4231;4232;
178;7101;7102;4232;;
179;7102;4232;;;
180;4227;;;;
181;4227;4226;;;
182;4226;4229;;;
183;4226;4229;;;
184;7221;7224;;;
185;7222;7224;7223;;
186;4320;7223;4321;;
187;4320;4321;;;
188;1653;4320;4321;;
189;1653;;;;
190;1653;;;;
191;1653;;;;
192;1653;1655;;;
193;1655;;;;
194;1655;;;;
195;1655;;;;
196;1655;4326;;;
197;1610;;;;
198;1610;;;;
199;1610;1609;;;
200;1609;;;;
201;1609;;;;
202;1609;;;;
203;1609;4231;;;
204;4231;;;;
205;4231;4232;;;
206;4232;;;;
207;4232;;;;
208;;;;;
209;;;;;
210;4229;;;;
211;4229;;;;
212;4229;7224;;;
213;7224;7223;7226;;
214;4321;;;;
215;4321;;;;
216;1653;4321;;;
217;1653;;;;
218;1653;;;;
219;1653;;;;
220;1655;;;;
221;1655;;;;
222;1655;;;;
223;1655;;;;
224;1655;4326;;;
225;1610;4223;;;
226;1610;4223;;;
227;1610;1609;4223;1611;
228;1609;1611;;;
229;1609;1611;;;
230;1609;1611;;;
231;1609;4231;1611;4234;
232;4231;4234;;;
233;4231;4232;4234;;
234;4232;4233;;;
235;4232;4233;;;
236;;;;;
237;4229;4237;4236;;
238;4229;4237;4236;;
239;4229;4236;;;
240;4229;1654;4236;;
241;7226;1654;;;
242;4321;;;;
243;;;;;
244;1653;;;;
245;1653;4323;;;
246;1653;4322;;;
247;1653;;;;
248;1655;;;;
249;1655;;;;
250;1655;4328;;;
251;1655;4328;;;
252;1655;4326;4328;4332;
253;4223;;;;
254;4223;;;;
255;4223;1611;;;
256;1611;;;;
257;1611;;;;
258;1611;;;;
259;1611;4234;;;
260;4233;4234;;;
261;4233;4234;;;
262;4233;;;;
263;4233;4237;;;
264;4237;;;;
265;4237;4236;;;
266;4237;4236;;;
267;1654;4236;;;
268;1654;4236;;;
269;1654;;;;
270;1654;;;;
271;1654;;;;
272;;;;;
273;4323;;;;
274;;;;;
275;;;;;
276;;;;;
277;;;;;
278;4328;;;;
279;4328;;;;
280;4328;4332;;;
281;4223;4225;;;
282;4223;4225;;;
283;4223;1611;;;
284;1611;;;;
285;1611;;;;
286;1611;;;;
287;1611;4234;;;
288;4234;4235;;;
289;4234;4233;4235;7104;
290;4233;7103;7104;;
291;4233;4237;7103;7108;
292;4237;7108;;;
293;4237;4236;7107;;
294;4236;7112;;;
295;1654;4236;7111;;
296;1654;7111;;;
297;1654;;;;
298;1654;;;;
299;;;;;
300;;;;;
301;4323;;;;
302;4322;4323;7228;;
303;4322;7227;7228;;
304;4322;4329;7227;7236;
305;7235;7236;;;
306;4328;4330;7235;;
307;4328;4330;;;
308;4328;4330;4332;4333;
309;4225;;;;
309;4225;;;;
311;1611;4225;;;
312;1611;;;;
313;1611;;;;
314;1611;;;;
315;1611;4235;;;
326;4235;;;;
317;4235;7104;7105;;
318;7103;7104;7105;7106;
319;7103;7106;7108;7109;
320;7107;7108;7109;7110;
321;7107;7110;7112;7113;
322;7112;7113;;;
323;1654;7111;7114;;
324;1654;7111;;;
325;1654;;;;
326;1654;;;;
327;1654;;;;
328;;;;;
329;4324;;;;
330;4324;7228;7229;;
331;7227;7228;7229;7230;
332;7227;7230;7236;7237;
333;7235;7236;7237;7238;
334;4330;7235;7238;;
335;4330;;;;
336;4330;4333;;;
337;4225;;;;
338;4225;;;;
339;1611;4225;;;
340;1611;4277;;;
341;1611;4276;4277;;
342;1611;;;;
343;1611;4235;4269;;
344;4235;4269;;;
345;4235;7105;7184;;
346;7105;7106;7183;7184;
347;7106;7109;7172;7183;
348;7109;7110;7171;7172;
349;4268;7110;7113;7171;
350;4268;7113;7114;;
351;1654;4268;7113;7114;
352;1654;4268;4346;7114;
353;1654;4346;;;
354;1654;4345;;;
355;1654;4345;;;
356;1654;4324;4342;4345;
357;4324;4342;;;
358;4324;4342;7229;7240;
359;7229;7230;7239;7240;
360;4335;7230;7237;7239;
361;4335;7237;7238;;
362;4330;4334;4335;7238;
363;4330;4334;;;
364;1656;4330;4333;4334;
365;;;;;
366;;;;;
367;4277;;;;
368;4277;;;;
369;4276;4277;;;
370;1611;4276;;;
371;4269;4276;;;
372;4269;;;;
373;4269;7184;7185;;
374;7183;7184;7185;7186;
375;7172;7173;7183;7186;
376;7171;7172;7173;7174;
377;4268;7171;7172;7174;
378;4268;;;;
379;4268;;;;
380;4268;4346;;;
381;4346;;;;
382;4345;;;;
383;4345;;;;
384;4342;4345;;;
385;4342;;;;
386;4342;7240;7241;;
387;7239;7240;7241;7242;
388;4335;7239;7242;;
389;4335;;;;
390;4334;4335;;;
391;4334;;;;
392;1656;4334;;;
393;;;;;
394;;;;;
395;4277;;;;
396;4277;7203;;;
397;4276;4277;7203;;
398;4276;;;;
399;4269;4276;4278;;
400;4269;4270;;;
401;4269;4270;7185;7188;
402;7185;7185;7187;7188;
403;7173;7176;7186;7187;
404;7173;7174;7176;;
405;4268;7174;7175;;
406;4268;7174;7180;;
407;4268;7179;;;
408;4268;4346;4347;7179;
409;4346;;;;
410;4345;4346;;;
411;4345;;;;
412;4342;4343;4345;;
413;4342;4343;;;
414;4342;4343;4344;7241;
415;4344;7241;7242;;
416;4335;4336;4344;7242;
417;4335;4336;;;
418;4334;4335;;;
419;4334;;;;
420;1656;4334;;;
421;;;;;
422;;;;;
423;7204;;;;
424;7203;7204;;;
425;4278;7203;;;
426;4278;;;;
427;4278;;;;
428;4270;;;;
429;4270;7188;;;
430;7186;7187;7188;7189;
431;7176;7177;7186;7187;7190
432;7173;7175;7176;7177;
433;7175;7180;;;
434;7175;7179;7180;;
435;7179;7180;;;
436;4346;4347;7179;;
437;4347;;;;
438;4348;;;;
439;4348;;;;
440;4342;4343;4348;;
441;4342;4343;;;
442;4343;4344;;;
443;4344;;;;
444;4336;4344;;;
445;4336;;;;
446;4336;;;;
447;;;;;
448;1656;;;;
449;;;;;
450;;;;;
451;7204;7205;;;
452;7203;7204;7205;7206;
453;4278;7203;7206;;
454;4278;4287;;;
455;4278;;;;
456;4270;;;;
457;4270;7188;7189;;
458;7187;7188;7189;7190;
459;7177;7187;7190;;
460;7175;7177;7178;;
461;7175;7178;7181;;
462;7178;7179;7180;7181;7182
463;7179;7180;7181;7182;
464;4347;7179;7182;;
465;4347;;;;
466;4347;4348;;;
467;4348;;;;
468;4343;4348;;;
469;4343;;;;
470;4343;4344;;;
471;4344;;;;
472;4336;4344;;;
473;4336;;;;
474;4336;;;;
475;;;;;
476;;;;;
477;4283;4284;;;
478;4283;;;;
479;4283;4288;7205;;
480;4288;7205;7206;;
481;4278;4287;4288;7206;
482;4278;4287;;;
483;4272;4287;;;
484;4272;;;;
485;4271;4272;;;
486;4271;7189;7190;;
487;4271;4274;7177;7190;
488;4274;7177;7178;;
489;4274;7178;7181;7196;
490;7178;7181;7182;7195;7196
491;7182;7195;7196;;
492;4347;7182;7195;7244;
493;4347;7243;7244;;
494;4347;4349;7243;;
495;4349;;;;
496;1658;4349;;;
497;1658;;;;
498;1658;;;;
499;1658;;;;
500;1658;4336;4339;4344;
501;4336;4339;;;
502;4336;4338;4339;;
503;4338;;;;
504;;;;;
505;4283;4284;;;
506;4283;;;;
507;4283;4288;;;
508;4288;;;;
509;4287;4288;;;
510;4287;;;;
511;4272;4287;;;
512;4272;;;;
513;4271;4272;;;
514;4271;;;;
515;4271;4274;;;
516;4274;;;;
517;4274;7197;;;
518;7196;7197;7198;7200;
519;7195;7196;7197;7198;
520;7195;7198;7244;7245;
521;7243;7244;7245;7246;
522;4349;7246;;;
523;4349;;;;
524;1658;;;;
525;1658;;;;
526;1658;;;;
527;1658;;;;
528;1658;4339;;;
529;4339;;;;
530;4338;4339;;;
531;4338;;;;
532;;;;;
533;4283;4284;4285;4286;
534;4283;4286;;;
535;4286;4289;;;
536;4289;;;;
537;4287;4288;4289;4290;
538;4287;4290;;;
539;4272;4287;4290;7192;
540;4272;7191;7192;;
541;4271;4272;4273;7191;
542;4271;4273;;;
543;4271;4273;4274;4275;
544;4273;4274;4275;;
545;4274;4275;7197;7200;
546;7197;7199;7200;;
547;4350;7197;7198;7199;7200
548;4350;7199;7245;;
549;4350;4351;7245;7246;
550;4349;4350;4351;7246;
551;4349;4351;;;
552;1658;4351;;;
553;1658;;;;
554;1658;;;;
555;;;;;
556;4340;;;;
557;4339;4340;;;
558;4338;4339;4340;4341;
559;4338;4341;;;
560;4341;;;;
561;4285;4286;;;
562;;;;;
563;4286;;;;
564;4289;;;;
565;4289;4290;;;
566;4290;;;;
567;4290;7192;7193;;
568;7191;7192;7193;7194;
569;4273;7191;7194;;
570;4273;;;;
571;4273;4275;;;
572;4275;;;;
573;4275;7201;;;
574;7199;7200;7201;7202;
575;7199;7200;7201;7202;
576;4350;7199;7202;;
577;4350;4351;;;
578;4350;4351;;;
579;4351;;;;
580;1658;4351;;;
581;1658;;;;
582;1658;;;;
583;1658;;;;
584;1658;4340;;;
585;4340;;;;
586;4340;4341;;;
587;;;;;
588;4341;;;;
589;1630;4286;;;
590;;;;;
